title,category,volatility,minBet,lookFor,stopPlaying,playWhen,stopWhen
"Fu Dai Lian Lian","accumulation","high","$0.88","2+ bags glowing with jewels visible (check bet pad for jewels in bags) | Aggressive: 1 bag with jewels + 1 level 4 bag (largest size before jewels appear)","After triggering one boosted bag bonus (bag size does not affect trigger chance)","<strong>Primary Requirement:</strong> - <strong>2+</strong> bags with jewels (glowing)  **Aggressive Play (Higher Variance):** - <strong>1</strong> bag with jewels **AND** - <strong>1</strong> Level 4 bag (largest size without jewels)  **How to Check:** - Look **directly on bet pad** - Bags with jewels visible on bet pad - If you see bags on bet pad, you have correct version  ---","- Any bag bonus triggers - Do NOT continue even if other bags still have jewels - Re-evaluate after bonus completes  ---"
"Fu Stacks: Jade / Crimson","accumulation","medium","$0.88","2 coins in each of the first 3 reels (in coin holders above reels) | Any active stacks in first 3 reels (glowing border around reel)","Active stack spins deplete | First 3 reels no longer have coins","**Option A — Coin Setup:** - <strong>2</strong> coins in EACH of the first 3 reels (coin holders above)  **Option B — Active Stacks:** - Active stack in any of first 3 reels - Active = Glowing border around reel  | Setup | Action | |-------|--------| | 2 coins in reels 1, 2, AND 3 | ✅ **Play** | | Active stack in reels 1-3 | ✅ **Play** | | Active stack only in reel 4 | ❌ Skip (little value) | | Coins not in all first 3 reels | ❌ Skip |  ---","- Active stack spins deplete - First 3 reels no longer have adequate coins  ---"
"GIFT OF THE NILE","counter-meter","high","$0.88","Single wild in reels 1-3 (top/middle row or directly above in queue) | 2 wilds in front 3 queue positions | 2 wilds same row in middle queue | 3+ wilds (stack) in back queue | Note: FREE GAMES symbols are NOT persistent","After all wilds move off the bottom row (check queue for new wilds)","**Focus on first 3 reels only.** The further back in queue, the more wilds needed:  **Active Reel Area (Top/Middle Rows):** - <strong>1</strong> wild in reels 1-3 (top or middle row) - <strong>1</strong> wild directly above reel (first queue position)  **Front Queue (First 3 Positions):** - <strong>2</strong> wilds in first 3 queue positions (reels 1-3)  **Middle Queue:** - <strong>2</strong> wilds on SAME row (reels 1-3)  **Back Queue:** - <strong>3</strong> wilds on same row (reels 1-3) - OR stack of <strong>3+</strong> wilds together (reels 1-3)  | Wild Location | Wilds Required | Action | |---------------|----------------|--------| | Active area (top/middle) | 1 | ✅ **Play** | | Directly above reel | 1 | ✅ **Play** | | Front 3 queue positions | 2 | ✅ **Play** | | Middle queue (same row) | 2 | ✅ **Play** | | Back queue (same row) | 3 | ✅ **Play** | | Back queue (stack) | 3+ | ✅ **Play** |  ---","- All wilds move off bottom row - Check queue for new wilds before leaving  ---"
"GOLDEN DRAGON","counter-meter","high","$0.88","4 of 5 pots contain jackpot wheel or high free games (16/20/24) | Avoid if any pot shows 8 free games","After triggering any pot","<strong>Primary Requirement:</strong> - <strong>4 of 5</strong> pots contain high-value prizes  <strong>High-Value Prizes:</strong> - Jackpot Wheel spin - 24 free games (red) - 20 free games (green) - 16 free games (green)  <strong>Pot Configuration Check:</strong> - Pot 1 (Reel 1): High value? ✅/❌ - Pot 2 (Reel 2): High value? ✅/❌ - Pot 3 (Reel 3): High value? ✅/❌ - Pot 4 (Reel 4): High value? ✅/❌ - Pot 5 (Reel 5): High value? ✅/❌  **Need ≥4 checkmarks to play.**  ⚠️ **IMPORTANT:** Each pot has only 20% chance of being triggered. Don't play for a single good pot.  ---","- Any pot triggers (all pots reset afterward) - Bankroll loss exceeds predetermined limit  ---"
"GOLDEN EGYPT GRANDE","counter-meter","high","$0.88","2 of first 3 reels 1 coin away from wild | 6+ coins in first 4 reels | Active wilds in first 3 reels (glowing gold border) | Active wilds in both reels 4 and 5","After all wild spins deplete (coins above reels empty)","**Option A — Two Reels Ready (First Three):** - <strong>2</strong> of first 3 reels are 1 coin away from wild - Examples: 1-2-0-0-0 | 0-2-3-0-0 | 1-0-3-0-0  **Option B — Six Coins Total:** - <strong>6+</strong> coins in first 4 reels - Examples: 1-1-2-2-0 | 0-2-2-2-0 | 0-1-3-2-0  **Option C — Active Wilds in First Three:** - Any active wild in reels 1-3 - (Glowing gold border + coins above)  **Option D — Reel 4 Active + Setup:** - Reel 4 has active wild - AND any of first 3 reels is 1 coin away - Play 1-2 spins to try landing coin for double wild  **Option E — Reels 4 AND 5 Active:** - Active wilds in **both** reels 4 and 5  ---","- All wild spins deplete - Coins above reels empty  ---"
"Golden Gecko","counter-meter","high","$0.88","3+ red jewels in active row (directly above reels) | 5+ red jewels in active + first queue row | 7+ red jewels in active + first 2 queue rows","After red progressive triggers | Red jewels drop past active row without hitting","**Red Jewels Only (by position):**  | Red Jewel Position | Count Required | Action | |--------------------|----------------|--------| | Active row (directly above reels) | <strong>3+</strong> | ✅ **Play** | | Active + first queue row | <strong>5+</strong> | ✅ **Play** | | Active + first 2 queue rows | <strong>7+</strong> | ✅ **Play** |  ---","- Red progressive triggers - Red jewels drop past active row without hitting  ---"
"GOLDEN JUNGLE GRAND","cycle-based","medium","$0.88","Spin counter showing 1-9 of 10 with favorable buddha distribution (2 full reels in first 3 positions is always playable) | Never play spin 10 of 10","After spin 10 completes (wild reels trigger based on collected buddhas)","","- Spin 10 completes - Wild reels trigger based on collected buddhas - Cycle resets  ---"
"Golden Messenger","counter-meter","high","$0.88","3 reels with 2 coins each | 5 or more coins in the first 3 reels | 7 or more coins anywhere (ignore reels already at 3 coins - they reset next spin)","After prize pick completes","**Important:** Do NOT count reels already at 3 coins (coins removed next spin).  **Option A — Three Reels Setup:** - <strong>3</strong> reels each with <strong>2</strong> coins  **Option B — First 3 Reels:** - <strong>5+</strong> coins in first 3 reels  **Option C — Any Reels:** - <strong>7+</strong> coins anywhere  | Coin Setup | Action | |------------|--------| | 3 reels with 2 coins each | ✅ **Play** | | 5+ coins in reels 1-3 | ✅ **Play** | | 7+ coins anywhere | ✅ **Play** | | Reel already at 3 coins | ❌ Don't count (resets) |  ---","- Prize pick completes  ---"
"HONEY BUCKS","counter-meter","high","$0.88","2+ active wilds in first 3 reels (horizontally connected or 1 gap apart) | 3 horizontally connected active wilds anywhere | 4+ active wilds in first 3 reels (empty space = 2 spins left, yellow WILD = 1 spin left, cracked = ignore)","After all active wilds crack and disappear","**Option A — Two Wilds in First Three Reels:** - <strong>2</strong> active wilds in reels 1-3 - Must be horizontally connected OR one gap apart  **Option B — Three Connected Wilds:** - <strong>3</strong> horizontally connected active wilds - Can be anywhere on reels  **Option C — Four Wilds:** - <strong>4+</strong> active wilds in first three reels  | Wilds | Position | Action | |-------|----------|--------| | 2 connected/1-gap | Reels 1-3 | ✅ **Play** | | 3 connected | Anywhere | ✅ **Play** | | 4+ | Reels 1-3 | ✅ **Play** |  ---","- All active wilds crack and disappear - No playable wild combinations remain  ---"
"HYPER ORBS","counter-meter","high","$0.88","12+ orbs collected (check bet pad for each denomination) | Scatter symbol with number inside on reel 2 or 4 (sticks for that many spins, need 2 to trigger bonus)","After free spins bonus triggers (orb count resets to zero)","**Option A — Orb Count:** - Orbs collected: ≥ <strong>12</strong>  **Option B — Scatter Symbol:** - Number symbol visible in reel 2 OR reel 4 - Number inside = spins it sticks around - Also functions as wild - Need 2 to trigger bonus  **How to Check:** - Look **directly on bet pad** - Shows orb count for each bet level  ⚠️ **IMPORTANT:** Check all denominations—different bet levels have different counts.  ---","- Free spins bonus triggers - Orb count resets to <strong>0</strong>  ---"
"IGT CLASSIC HITS","must-hit-by","low","$0.88","Bottom MHB at 95%+ | Middle MHB at 96%+ | Top MHB at 97%+ | Tap","After targeted MHB jackpot triggers and resets","**Quick Reference (Percentage of MHB):** | Progressive | Threshold | |-------------|-----------| | Top (Large) | <strong>97%+</strong> | | Middle (Medium) | <strong>96%+</strong> | | Bottom (Small) | <strong>95%+</strong> |  **Bottom (Small) Break-Even Points:** | Bet | Play At | |-----|---------| | $0.50 | <strong>$19</strong> | | $1.00 | <strong>$38</strong> | | $1.50 | <strong>$57</strong> | | $2.50 | <strong>$95</strong> | | $5.00 | <strong>$190</strong> |  **Middle (Medium) Break-Even Points:** | Bet | Play At | |-----|---------| | $0.50 | <strong>$48</strong> | | $1.00 | <strong>$96</strong> | | $1.50 | <strong>$144</strong> | | $2.50 | <strong>$240</strong> | | $5.00 | <strong>$480</strong> |  **Top (Large) Break-Even Points:** | Bet | Play At | |-----|---------| | $0.50 | <strong>$194</strong> | | $1.00 | <strong>$388</strong> | | $1.50 | <strong>$582</strong> | | $2.50 | <strong>$970</strong> | | $5.00 | <strong>$1,940</strong> |  ---","- Targeted MHB jackpot triggers and resets  ---"
"Imperial Fortunes / Penguin Palace","counter-meter","high","$0.88","2 coins collected in first 3 reels with at least one 2x coin | 1 coin in each of first 4 reels | Active wilds in first 3 reels (gold highlight) | Reel 4 wild active with 2x coins above","After wild spins deplete (coin holders above wilds empty)","**Option A — Coins with 2x:** - <strong>2</strong> coins collected in first 3 reels - At least one must be a <strong>2x</strong> coin  **Option B — Four Coins Setup:** - <strong>1</strong> coin in each of first 4 reels - More aggressive play (usually need 2x to profit)  **Option C — Active Wilds (Reels 1-3):** - Active wilds (gold highlight) in first 3 reels - 1 or 2 coins showing spins remaining  **Option D — Active Wild (Reel 4):** - Active wild in reel 4 with <strong>2x</strong> coins above  **Option E — Reel 4 Test Spin:** - Reel 4 wild with <strong>2</strong> spins remaining - AND <strong>2+</strong> coins in first 3 reels - Play <strong>1</strong> spin for double wild chance - Stop if no second coin lands  | Setup | Action | |-------|--------| | 2 coins (reels 1-3) with 2x | ✅ **Play** | | 1 coin in each of reels 1-4 | ✅ **Play** (aggressive) | | Active wilds in reels 1-3 | ✅ **Play** | | Reel 4 wild with 2x coins | ✅ **Play** | | Reel 4 wild (2 spins) + 2 coins | ✅ **1 spin test** |  ---","- Wild spins deplete (coin holders empty) - Test spin fails to land second coin  ---"
"INDIAN MOTORCYCLE","cycle-based","medium","$0.88","PLAY MIN BET ONLY: 7 trophies | 6 trophies + 2000+ bonus credits | 5 trophies + 3000+ bonus credits | 4 trophies + 4000+ bonus credits | 3 trophies + 5000+ bonus credits (bonus amount shown above reels)","After wheel spin bonus completes (resets to 2 trophies)","| Trophies | Bonus Credits Required | Action | |----------|------------------------|--------| | <strong>7</strong> | Any amount | ✅ **Play** | | <strong>6</strong> | <strong>2000+</strong> credits | ✅ **Play** | | <strong>5</strong> | <strong>3000+</strong> credits | ✅ **Play** | | <strong>4</strong> | <strong>4000+</strong> credits | ✅ **Play** | | <strong>3</strong> | <strong>5000+</strong> credits | ✅ **Play** | | Below 3 | Any | ❌ Walk away |  **Where to Check:** - Trophies: Count gold trophies displayed - Bonus credits: Middle of screen above reels  ---","- Wheel spin bonus completes - Game resets to <strong>2</strong> trophies  ---"
"JACKPOT CATCHER","accumulation","medium","$0.88","5+ ring value total (yellow = 1, green 2x = 2, pink 3x = 3, red 5x = 5)","After all rings deplete (3 spins each) and prizes are collected","<strong>Primary Requirement:</strong> - Ring value total ≥ <strong>5</strong>  **Counting Examples:** - 5 yellow rings = 5 points ✅ - 1 green (2) + 1 pink (3) = 5 points ✅ - 1 red (5) = 5 points ✅ - 2 green (4) + 1 yellow (1) = 5 points ✅  | Ring Total | Action | |------------|--------| | Below 5 | ❌ Walk away | | 5+ | ✅ **Play** |  ---","- All rings deplete (3 spins each) - Prizes collected - Ring total drops below threshold  ---"
"Jewel Collection: Dragon / Vault","must-hit-by","low","$0.88","Scatter meter at 480+ of 777 (above reel 2) | Total extra wilds across all 4 jewel meters at 610+ (bet pad shows 3 meters, check screen for amethyst)","After mystery free games triggers (scatter hits 777) | After any jewel bonus triggers (amethyst, sapphire, emerald, or ruby)","**Option A — Scatter Meter:** - Scatter meter at <strong>480+</strong> of 777  **Option B — Combined Jewel Wilds:** - Total extra wilds across ALL 4 meters ≥ <strong>610</strong>  | Meter | Threshold | Where to Check | |-------|-----------|----------------| | Scatter | <strong>480+</strong> | Above reel 2 | | Jewels combined | <strong>610+</strong> | Bet pad (3 meters) + screen (amethyst) |  **How to Check:** - Bet pad shows: Sapphire, Emerald, Ruby - Screen shows: Amethyst (check separately!)  ---","- Mystery free games triggers (scatter hits 777) - Any jewel bonus triggers (amethyst, sapphire, emerald, or ruby)  ---"
"Jin Ji Bao Xi Grand: Phoenix / Tiger","counter-meter","high","$0.88","1 locked bat on reels 2, 3, or 4 with 2+ spins remaining | 2 locked bats anywhere with 2+ spins remaining (check","After all locked bats disappear","<strong>Primary Requirement:</strong> - Text shows ""locked for 2 spins"" OR ""locked for 1 spin""  **Option A — Single Bat:** - <strong>1</strong> locked bat on reels 2, 3, or 4 - With <strong>2+</strong> spins remaining  **Option B — Multiple Bats:** - <strong>2</strong> locked bats anywhere - With <strong>2+</strong> spins remaining  | Bats | Spins Remaining | Action | |------|-----------------|--------| | 1 bat (reels 2-4) | 2+ | ✅ **Play** | | 2 bats anywhere | 2+ | ✅ **Play** | | Any bats | 1 coin showing (last spin) | ❌ Skip | | 0 bats | - | ❌ Skip |  ---","- All locked bats disappear - Bonus feature triggers  ---"
"Jin Ji Bao Xi: Rising Fortunes","must-hit-by","high","$0.88","Progressive at 85-90%+ of must-hit-by value (check help screen for specific MHB threshold)","After progressive jackpot triggers and resets | Check other bet levels before leaving","<strong>Primary Requirement:</strong> - Progressive at <strong>85-90%+</strong> of must-hit-by value  **How to Check:** - View progressive value on game display - Check help screens/paytable for must-hit-by threshold - Threshold varies by casino and denomination  | Progressive % of MHB | Action | |---------------------|--------| | Below 85% | ❌ Walk away | | 85-90% | ⚠️ Getting close | | 90%+ | ✅ **Play** |  ---","- Progressive jackpot triggers and resets - Advantage is gone until meter rebuilds  ---"
"Jurassic Park Trilogy","counter-meter","high","$0.88","Bonus symbol in reel 2 with spin counter showing above reel 4 (do not play if symbol only in reel 4)","After bonus triggers or spin counter reaches 0","<strong>Primary Requirement:</strong> - Bonus symbol **already in reel 2** - Counter showing above reel 4  | Symbol Location | Counter Position | Action | |-----------------|------------------|--------| | Reel 2 | Above reel 4 | ✅ **Play** | | Reel 4 | Above reel 2 | ❌ Skip |  ---","- Bonus triggers (both symbols landed) - Spin counter reaches 0  ---"
"KRAKEN UNLEASHED","counter-meter","high","$0.88","2+ wood panels in top row (reels 1-4 only) | 1 panel in top row + 2+ in middle row | Aggressive: any panel in top row (unless stack of 4 just shifted off bottom)","After hold & spin bonus triggers | All panels shift off the bottom of the reels","**Option A — Top Row Panels:** - <strong>2+</strong> wood panels in top row (reels 1-4)  **Option B — Split Position:** - <strong>1</strong> panel in top row - <strong>2+</strong> panels in middle row  **Option C — Aggressive (High RTP):** - Any panel in top row - ❌ **EXCEPT:** Stack of 4 just shifted, bottom panel exited (nothing above)  | Top Row Panels | Middle Row | Action | |----------------|------------|--------| | 2+ | Any | ✅ **Play** | | 1 | 2+ | ✅ **Play** | | 1 | 0-1 | ⚠️ Aggressive only | | 0 | Any | ❌ Walk away |  ---","- Hold & Spin bonus triggers (<strong>6</strong> panels) - All panels shift off bottom of reels - No panels remaining in top/middle rows  ---"
"LEGEND OF THE 3X 2X PHOENIX","must-hit-by","low","$0.88","Any meter at 14 (red/green/blue must-hit at 15) | On 91%+ RTP machines: green at 13 is also playable","After free games meter triggers at 15","<strong>Primary Requirement:</strong> - Any meter at <strong>14</strong>  **91%+ RTP Machines:** - Green (5x) at <strong>13</strong> is also playable  | Meter | Count | Action | |-------|-------|--------| | Any | 14 | ✅ **Play** | | Green | 13 | ✅ **Play** (91%+ RTP only) | | Any | Below 13 | ❌ Walk away |  ---","- Free games meter triggers at <strong>15</strong> - Meter resets to starting value  ---"
"Let’s Spin / Let’s Spin Vegas","cycle-based","medium","$0.88","Let","After wheel spin bonus completes | All Let","**Option A — Let's Symbol:** - Let's symbol in reel 1 - **NOT on bottom row**  **Option B — Spin Symbol in Reel 2:** - Spin symbol in reel 2 - **NOT on bottom row**  **Option C — Multiple Spin Symbols:** - Spin symbols in **both** reels 3 and 4 - **NOT on bottom row**  | Symbol | Reel | Row | Action | |--------|------|-----|--------| | Let's | 1 | Top/Middle | ✅ **Play** | | Let's | 1 | Bottom | ❌ Skip | | Spin | 2 | Top/Middle | ✅ **Play** | | Spin | 2 | Bottom | ❌ Skip | | Spin | 3+4 | Top/Middle | ✅ **Play** |  ---","- Wheel spin bonus completes - All Let's/Spin symbols move off bottom row  ---"
"Life of Luxury Hot Diamonds","must-hit-by","low","$0.88","Car at 40+ | Boat at 50+ | Plane at 65+ (check bet pad for all meter levels)","After free games bonus triggers (land 3 symbols, spin wheel)","| Meter | Free Games Threshold | |-------|---------------------| | Car | ≥ <strong>40</strong> | | Boat | ≥ <strong>50</strong> | | Plane | ≥ <strong>65</strong> |  **How to Check:** - Look directly on bet pad - Shows free games count for all bet levels  ---","- Free games bonus triggers (3 symbols, spin wheel) - You hit your loss limit (set one before playing)  ---"
"LUCKY EMPRESS / INCA EMPRESS","counter-meter","high","$0.88","Active 10x or 12x multiplier (shows","After multiplier triggers on a line hit and no 10x+ total remains active or queued","**Option A — High Active Multiplier:** - Active <strong>10x</strong> or <strong>12x</strong> multiplier  **Option B — Combined Active Multipliers:** - Active multipliers totaling ≥ <strong>10x</strong> - Examples: 5x + 5x = 10x | 8x + 3x = 11x  **Option C — Queue Setup:** - <strong>10x</strong> or <strong>12x</strong> in upcoming queue - Play through 5x or 8x in front to reach them  | Active Multiplier | Queue | Action | |-------------------|-------|--------| | 10x or 12x | Any | ✅ **Play** | | 5x+5x or similar | Any | ✅ **Play** | | 5x or 8x | 10x/12x behind | ✅ **Play** | | Below 10x total | No 10x/12x queued | ❌ Skip |  ---","- Multiplier triggers on line hit - No <strong>10x+</strong> total remains active or queued  ---"
"LUCKY LARRY","accumulation","medium","$0.88","1 coin in each of 3 Loot Awards (above reels 2, 3, 4) | Bonus Loot Award present on any reel (any coin count) | Jackpot Loot Award with 1+ coins | Active Loot Award showing spins remaining","After triggering any Loot Award","**Option A — Three Reels Setup:** - <strong>1</strong> coin in each of 3 Loot Awards (reels 2, 3, 4) - Stop after triggering one  **Option B — Active Loot Award:** - Shows ""2 Spins Left"" or ""1 Spin Left""  **Option C — Bonus Loot Award:** - Bonus present on any reel - **Any coin count** (even 0)  **Option D — Jackpot Loot Award:** - Jackpot present with <strong>1+</strong> coins - (0 coins is +EV but high variance)  **Option E — Completed Awards (1 Spin Gamble):**  Play 1 spin to see if Jackpot/Bonus replaces it: - 1 completed + 1 coin in other two - 2 completed awards - 3 completed awards (rare)  *(Only if completed awards are NOT Jackpot/Bonus)*  ---","- Any Loot Award triggers - Re-evaluate remaining awards  ---"
"Lucky Pick: Bumble Bee / Cash Tree / Leprechaun","cycle-based","medium","$30","3 wilds revealed | 2 wilds + multiplier, 4+ free games, or 5+ credits revealed | 1 wild + 10 or fewer picks remaining | 7 or fewer picks remaining (any setup)","After free games bonus triggers (keep playing until bonus - never stop early)","","- Free games bonus triggers - **NEVER stop before bonus** (keep playing until bonus!)  ---"
"LUNAR DISC / FORTUNE DISC","accumulation","medium","$0.88","5 discs collected (check bet pad counter - bonus triggers at 6)","After disc bonus triggers (random symbol turns wild)","<strong>Primary Requirement:</strong> - Discs collected: <strong>5</strong>  **How to Check:** - Look **directly on bet pad**  | Discs | Action | |-------|--------| | 0–4 | ❌ Walk away | | 5 | ✅ **Play** |  ---","- Disc bonus triggers - Random symbol turns wild  ---"
"MADONNA : MIGHTY CASH","counter-meter","high","$0.88","Total multipliers 21x or higher (add all 5 reel multipliers, max 8x each)","After Mighty Cash bonus triggers (multipliers reset)","<strong>Primary Requirement:</strong> - Total of ALL multipliers ≥ <strong>21x</strong>  **How to Calculate:** - Add all 5 reel multipliers together - Example: 5x + 4x + 3x + 5x + 4x = 21x ✅  | Total Multipliers | Action | |-------------------|--------| | 21x+ | ✅ **Play** | | Below 21x | ❌ Walk away |  ---","- Mighty Cash bonus triggers (multipliers reset)  ---"
"MAGIC WISHES","accumulation","medium","$0.88","Check spin counter (X of 10) and count locked frames aligned horizontally on the same row | Later spins (7-9) need fewer frames | earlier spins (1-6) need 3-4+ frames on same row | Frames on left reels are more valuable","After 10th spin completes (all accumulated frames turn wild)","","- Spin 10 completes - All frames turn wild - Cycle resets  ---"
"Mammoth Legend","counter-meter","high","$0.88","1 coin remaining above reel 5 (displays","After Volcano Bonus triggers","<strong>Primary Requirement:</strong> - <strong>1</strong> coin remaining above reel 5 - Screen displays: **""Next Bonus = Guaranteed Jackpot!""**  | Coins Remaining | Action | |-----------------|--------| | 1 (Guaranteed Jackpot) | ✅ **Play** (risky) | | 2+ | ❌ Skip |  ---","- Volcano Bonus triggers  ---"
"Miss Kitty Wild Ride","cycle-based","medium","$0.88","Wild Ride Bonus active (larger reels visible) | Miss Kitty: diamonds behind reels | Zorro: flames behind reels","Reels shrink back to normal size (no wild or multiplier landed on previous spin)","<strong>Primary Requirement:</strong> - Wild Ride Bonus is **active**  **How to Identify:** - Reels are **larger than normal** - Special animation behind reels (diamonds or flames)  | Feature Status | Action | |----------------|--------| | Wild Ride Bonus active | ✅ **Play** | | Normal reels (no bonus) | ❌ Walk away |  ---","- Reels shrink back to normal size - No wild or multiplier landed on previous spin - Feature ends  ---"
"MOON SPIRIT","cycle-based","medium","$0.88","Locked frames accumulated mid-cycle with spins remaining (check spin counter vs frame count in table below) | Frames on reels 2-3 most valuable (lady symbol expands wilds horizontally)","After 10th spin completes (all frames turn wild + horizontal expansion resolves)","**Frames in First 3 Reels Required (by spin):**  | Spin | Frames Needed (Reels 1-3) | |------|---------------------------| | 10 of 10 | ❌ Never | | 9 of 10 | <strong>1</strong> | | 8-7 of 10 | <strong>2</strong> | | 6-5 of 10 | <strong>3</strong> | | 4-3 of 10 | <strong>4</strong> | | 2-1 of 10 | <strong>5</strong> |  **Alternative Plays (Spins 6-5):** - <strong>2</strong> frames in reels 2 AND 3 - <strong>3</strong> horizontally connected frames starting in reel 1 or 2  **Alternative Plays (Spins 4-3):** - <strong>3</strong> frames in reels 2 AND 3 - <strong>3</strong> horizontally connected frames starting in reel 1 or 2  **Alternative Plays (Spins 2-1):** - <strong>4</strong> frames in reels 2 AND 3 - <strong>3</strong> horizontally connected frames starting in reel 1 or 2  ---","- 10th spin completes (frames turn wild, expansion resolves)  ---"
"OCEAN MAGIC GRAND","counter-meter","high","$0.88","Wild bubbles in reels 2-3 (any row including sunrise below bottom) | Reel 1 + reel 4 bubbles within 1-2 rows of each other | Sunrise bubbles in reels 1 or 4 (play 1 spin for foghorn or additional bubbles)","When any bubble reaches 2nd row from top (1 spin remaining)","**Option A — Reels 2-3 (Most Valuable):** - Wild bubbles in reels 2 or 3 - Include ""sunrise"" bubbles below bottom row - Stop when bubble reaches 2nd row from top  **Option B — Reels 1 + 4 Combo:** - Bubble in reel 1 AND bubble in reel 4 - Bubbles within 1-2 rows of each other - Stop when either reaches 2nd row from top  **Option C — Sunrise Bubbles (Test Spin):** - Sunrise bubble in reel 1 or 4 - Play 1 spin to check for foghorn or additional bubbles  | Bubble Location | Action | |-----------------|--------| | Reels 2-3 (any row including sunrise) | ✅ **Play** | | Reel 1 + Reel 4 (aligned) | ✅ **Play** | | Sunrise in reel 1 or 4 | ✅ **1 spin test** | | Reel 5 only | ❌ Skip (mostly worthless) |  ---","- Bubble reaches 2nd row from top (1 spin remaining)  ---"
"OCEAN MAGIC","counter-meter","high","$0.88","Wild bubbles in reels 1-4 (any row including sunrise bubbles below bottom row) | Same strategy for regular and Bubble Boost modes","All bubbles move off screen (check for sunrise bubbles below bottom row before leaving)","<strong>Primary Requirement:</strong> - Wild bubbles in **reels 1-4** (any row) - Include **sunrise bubbles** (below bottom row)  **Same Strategy for Both Modes:** - Regular mode ✅ - Bubble Boost mode ✅  ⚠️ **CRITICAL:** Check for sunrise bubbles below bottom row—often overlooked.  ---","- All bubbles move off screen - ⚠️ **CHECK:** Sunrise bubbles below bottom row before leaving  ---"
"Phoenix 888 Dragon","must-hit-by","low","$0.88","$500 MHB at $481+ | $5,000 MHB at $4,929+ (weighted to hit near top, realistic chance at $490+ and $4,990+)","After MHB jackpot hits (resets to $200 or $4,000)","| Progressive | Play At (Conservative) | |-------------|------------------------| | $500 MHB | ≥ <strong>$481</strong> | | $5,000 MHB | ≥ <strong>$4,929</strong> |  ⚠️ **CRITICAL:** Always **min bet** to reduce variance.  ---","- Jackpot hits - Progressive resets  ---"
"Piggy Bankin’","accumulation","medium","$0.88","3 or fewer pigs remaining (count large pig on top + smaller pigs below) | Verify you have the correct version matching the photos","After jackpot pick bonus triggers (lucky coin found)","<strong>Primary Requirement:</strong> - Total pigs remaining: ≤ <strong>3</strong>  <strong>Before Playing:</strong> - Verify game version matches guide photos - Count ALL pigs (top + bottom)  ⚠️ **IMPORTANT:** There are multiple versions of Piggy Bankin' (including Lock It Link). Ensure you have the correct version.  ---","- Jackpot pick bonus triggers (lucky coin found) - All pigs reset after bonus  ---"
"Pillars of Cash: Celestial Fortune / Festive Fortune","accumulation","medium","$0.88","2 or more gold dragons anywhere | 1 gold dragon in reel 1 or 5 at 10x+ bet | 1 gold dragon in reel 2 or 4 at 40x+ bet","After pillar prize is awarded (or spins expire without landing a coin)","**Note:** Can play gold dragons even without green dots—coin resets counter.  **Option A — Two Gold Dragons:** - <strong>2</strong> or more gold dragons anywhere  **Option B — Single Gold Dragon (Reel 1 or 5):** - Prize at least <strong>10x</strong> bet  **Option C — Single Gold Dragon (Reel 2 or 4):** - Prize at least <strong>40x</strong> bet  | Setup | Prize Threshold | Action | |-------|-----------------|--------| | 2+ gold dragons | Any | ✅ **Play** | | 1 gold (reel 1/5) | <strong>10x+</strong> bet | ✅ **Play** | | 1 gold (reel 2/4) | <strong>40x+</strong> bet | ✅ **Play** | | 1 gold (reel 3) | ❌ Too difficult | Skip |  ---","- Pillar prize is awarded - Spins expire without landing a coin  ---"
"PINWHEEL PRIZES","multi-state","high","$0.88","10+ golden wedges in green + blue wheels combined | 15+ golden wedges total (check count on bet pad)","After golden wedge prize awarded (wedge resets to default) and remaining golden wedges fall below threshold","**Option A — Green + Blue Focus:** - <strong>10+</strong> golden wedges in green + blue combined - (Green and blue are easiest to trigger)  **Option B — Total Golden Wedges:** - <strong>15+</strong> golden wedges anywhere  **How to Check:** - Look directly on bet pad for golden wedge count - ⚠️ Number alone doesn't always indicate play—check distribution  ---","- Golden wedge prize awarded (wedge resets) - Remaining golden wedges fall below threshold  ---"
"POTS O","accumulation","medium","$0.88","Multipliers in reels 2+3 totaling 10x+ (count plain coins as 1x) | Active wilds in reels 2-3 | Active wilds in reel 4 with multiplier coins (2x or 3x) | VERIFY: background behind coins is ORANGE not green","After wild reel spins deplete (coins above reel empty)","**Option A — Multiplier Setup:** - Multipliers in reels 2 + 3 totaling <strong>10x+</strong> - Count plain coins as 1x - Examples: 3x + 3x + 2x + 2x = 10x ✅  **Option B — Active Wilds (Reels 2-3):** - Active wilds in reels 2 OR 3 - **VERIFY:** Orange background behind coins  **Option C — Active Wilds (Reel 4):** - Active wilds in reel 4 - AND multiplier coins (2x or 3x) above reel - **VERIFY:** Orange background behind coins  ---","- Wild reel spins deplete (coins above reel empty)  ---"
